# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 183K of event 'cycles:ppp'
# Event count (approx.): 186916144949
#
# Overhead  Command  Shared Object            Symbol                                                                                                                                            
# ........  .......  .......................  ..................................................................................................................................................
#
     0.00%  gmx      libgromacs.so.5.0.0      [.] gmx::InMemorySerializer::doInt32
     0.00%  gmx      libgromacs.so.5.0.0      [.] gmx::InMemoryDeserializer::doInt32
     0.00%  gmx      [kernel.kallsyms]        [k] __kmalloc_node
     0.00%  gmx      [kernel.kallsyms]        [k] page_fault
     0.00%  gmx      [kernel.kallsyms]        [k] error_entry
     0.00%  gmx      [kernel.kallsyms]        [k] x86_pmu_disable
     0.00%  gmx      [kernel.kallsyms]        [k] kthread_data
     0.00%  gmx      [kernel.kallsyms]        [k] ktime_get_update_offsets_now
     0.00%  gmx      [kernel.kallsyms]        [k] run_posix_cpu_timers
     0.00%  gmx      [kernel.kallsyms]        [k] update_wall_time
     0.00%  gmx      [kernel.kallsyms]        [k] __generic_file_write_iter
     0.00%  gmx      [kernel.kallsyms]        [k] run_timer_softirq
     0.00%  gmx      libgromacs.so.5.0.0      [.] do_force_lowlevel
     0.00%  gmx      [kernel.kallsyms]        [k] rcu_irq_enter
     0.00%  gmx      [kernel.kallsyms]        [k] tick_sched_do_timer
     0.00%  gmx      [kernel.kallsyms]        [k] native_apic_msr_eoi_write
     0.00%  gmx      libgromacs.so.5.0.0      [.] acosf@plt
     0.00%  gmx      [kernel.kallsyms]        [k] ktime_get
     0.00%  gmx      [kernel.kallsyms]        [k] decay_load
     0.00%  gmx      libgromacs.so.5.0.0      [.] gmx::ForceProviders::calculateForces
     0.00%  gmx      [kernel.kallsyms]        [k] hrtimer_active
     0.00%  gmx      [kernel.kallsyms]        [k] rb_next
     0.00%  gmx      [kernel.kallsyms]        [k] ext4_journal_check_start
     0.00%  gmx      [kernel.kallsyms]        [k] cpumask_next_and
     0.00%  gmx      libgromacs.so.5.0.0      [.] wallcycle_stop
     0.00%  gmx      libc-2.27.so             [.] __mpn_mul
     0.00%  gmx      [kernel.kallsyms]        [k] create_empty_buffers
     0.00%  gmx      libgromacs.so.5.0.0      [.] gmx_fio_lock@plt
     0.00%  gmx      [kernel.kallsyms]        [k] scheduler_tick
     0.00%  gmx      libgromacs.so.5.0.0      [.] bond_angle@plt
     0.00%  gmx      libopenblasp-r0.2.20.so  [.] 0x0000000000304a8b
     0.00%  gmx      [kernel.kallsyms]        [k] crypto_shash_update
     0.00%  gmx      libc-2.27.so             [.] xdr_float
     0.00%  gmx      [kernel.kallsyms]        [k] file_update_time
     0.00%  gmx      libpthread-2.27.so       [.] _pthread_cleanup_push_defer
     0.00%  gmx      [kernel.kallsyms]        [k] _cond_resched
     0.00%  gmx      libgromacs.so.5.0.0      [.] gmx::csettle
     0.00%  gmx      [kernel.kallsyms]        [k] switch_to_thread_stack
     0.00%  gmx      libgromacs.so.5.0.0      [.] write_hconf_mtop
     0.00%  gmx      libgromacs.so.5.0.0      [.] nbnxn_atomdata_t::resizeForceBuffers
     0.00%  gmx      [kernel.kallsyms]        [k] smp_apic_timer_interrupt
     0.00%  gmx      [kernel.kallsyms]        [k] vmacache_find
     0.00%  gmx      [kernel.kallsyms]        [k] __block_commit_write.isra.34
     0.00%  gmx      libgromacs.so.5.0.0      [.] reduce_energies_over_lists@plt
     0.00%  gmx      [kernel.kallsyms]        [k] n_tty_write
     0.00%  gmx      libc-2.27.so             [.] _IO_padn
     0.00%  gmx      libgromacs.so.5.0.0      [.] put_atoms_in_box@plt
     0.00%  gmx      libc-2.27.so             [.] __printf_fp
     0.00%  gmx      libc-2.27.so             [.] _IO_file_write@@GLIBC_2.2.5
     0.00%  gmx      libgromacs.so.5.0.0      [.] shift_self
     0.00%  gmx      libgromacs.so.5.0.0      [.] std::vector<float, gmx::Allocator<float, gmx::HostAllocationPolicy> >::_M_default_append
     0.00%  gmx      libc-2.27.so             [.] @plt
     0.00%  gmx      libgromacs.so.5.0.0      [.] init_ekindata
     0.00%  gmx      libgromacs.so.5.0.0      [.] std::vector<gmx::BasicVector<float>, gmx::Allocator<gmx::BasicVector<float>, gmx::HostAllocationPolicy> >::operator=
     0.00%  gmx      [kernel.kallsyms]        [k] get_page_from_freelist
     0.00%  gmx      libopenblasp-r0.2.20.so  [.] sched_yield@plt
     0.00%  gmx      libopenblasp-r0.2.20.so  [.] pthread_mutex_unlock@plt
     0.00%  gmx      [kernel.kallsyms]        [k] clear_page_erms
