# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 481K of event 'cycles:ppp'
# Event count (approx.): 477625636818
#
# Overhead  Command  Shared Object                         Symbol                                                                                                                  
# ........  .......  ....................................  ........................................................................................................................
#
     0.00%  gmx      [kernel.kallsyms]                     [k] timerqueue_del
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv006651rm
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002704f2
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002dddb0
     0.00%  gmx      [kernel.kallsyms]                     [k] ntp_get_next_leap
     0.00%  gmx      libgromacs.so.5.0.0                   [.] gmx_fio_getread
     0.00%  gmx      [kernel.kallsyms]                     [k] block_write_end
     0.00%  gmx      libgromacs.so.5.0.0                   [.] Nbnxm::gpu_upload_shiftvec
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002be170
     0.00%  gmx      [kernel.kallsyms]                     [k] __page_set_anon_rmap
     0.00%  gmx      [kernel.kallsyms]                     [k] shmem_mapping
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000249180
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002c040e
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f7ba2
     0.00%  gmx      [kernel.kallsyms]                     [k] generic_write_end
     0.00%  gmx      [kernel.kallsyms]                     [k] update_group_capacity
     0.00%  gmx      [kernel.kallsyms]                     [k] jbd2_journal_get_write_access
     0.00%  gmx      libgomp.so.1.0.0                      [.] 0x00000000000190a7
     0.00%  gmx      libgromacs.so.5.0.0                   [.] gmx::csettle@plt
     0.00%  gmx      libgromacs.so.5.0.0                   [.] put_atoms_in_box@plt
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002e6f61
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000019e270
     0.00%  gmx      [kernel.kallsyms]                     [k] dec_zone_page_state
     0.00%  gmx      libgomp.so.1.0.0                      [.] 0x0000000000016963
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002bec38
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002feb20
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000026fa6a
     0.00%  gmx      libgromacs.so.5.0.0                   [.] gmx_fio_lock@plt
     0.00%  gmx      libgomp.so.1.0.0                      [.] 0x00000000000171d6
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000116b8e
     0.00%  gmx      [kernel.kallsyms]                     [k] mempool_free_slab
     0.00%  gmx      [kernel.kallsyms]                     [k] ahci_handle_port_interrupt
     0.00%  gmx      libgromacs.so.5.0.0                   [.] pthread_getspecific@plt
     0.00%  gmx      [kernel.kallsyms]                     [k] sg_pool_free
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002a87d8
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002fe906
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f70b0
     0.00%  gmx      [kernel.kallsyms]                     [k] cpumask_next_wrap
     0.00%  gmx      libgromacs.so.5.0.0                   [.] cudaMemsetAsync
     0.00%  gmx      [kernel.kallsyms]                     [k] strcpy
     0.00%  gmx      [kernel.kallsyms]                     [k] futex_wake
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv010166rm
     0.00%  gmx      [kernel.kallsyms]                     [k] do_IRQ
     0.00%  gmx      [kernel.kallsyms]                     [k] kthread_data
     0.00%  gmx      [kernel.kallsyms]                     [k] ext4_dirty_inode
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv000237rm
     0.00%  gmx      libgomp.so.1.0.0                      [.] 0x0000000000016d9c
     0.00%  gmx      libgromacs.so.5.0.0                   [.] gmx::Constraints::Impl::apply
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000027054c
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000019e18f
     0.00%  gmx      [kernel.kallsyms]                     [k] cfq_dispatch_insert
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001ba640
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000027067d
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001bd3c8
     0.00%  gmx      [kernel.kallsyms]                     [k] ext4_write_checks
     0.00%  gmx      libgromacs.so.5.0.0                   [.] Nbnxm::Grid::setDimensions
     0.00%  gmx      libgromacs.so.5.0.0                   [.] calculateSimpleBond@plt
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv003416rm
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002fe900
     0.00%  gmx      [kernel.kallsyms]                     [k] pagecache_get_page
     0.00%  gmx      [kernel.kallsyms]                     [k] ext4_finish_bio
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000027062a
     0.00%  gmx      libc-2.27.so                          [.] __GI___libc_write
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001d7015
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002985f9
     0.00%  gmx      libgomp.so.1.0.0                      [.] 0x000000000001696e
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001c89a0
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000298fea
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000026f2a0
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv007336rm
     0.00%  gmx      libgromacs.so.5.0.0                   [.] cudart::cudaApiStreamSynchronize
     0.00%  gmx      [kernel.kallsyms]                     [k] start_this_handle
     0.00%  gmx      [kernel.kallsyms]                     [k] ext4_da_write_begin
     0.00%  gmx      libgromacs.so.5.0.0                   [.] tMPI_Lock_lock@plt
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000019e14d
     0.00%  gmx      libgromacs.so.5.0.0                   [.] mdoutf_get_fp_ene
     0.00%  gmx      libgromacs.so.5.0.0                   [.] gmx::EnergyOutput::addDataAtEnergyStep
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv032109rm
     0.00%  gmx      libgromacs.so.5.0.0                   [.] cudart::cudaApiMemsetAsync
     0.00%  gmx      libopenblasp-r0.2.20.so               [.] 0x0000000000304ab0
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000026fbd5
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f833e
     0.00%  gmx      [kernel.kallsyms]                     [k] put_cpu_partial
     0.00%  gmx      libgromacs.so.5.0.0                   [.] gmx_fio_flush@plt
     0.00%  gmx      libgromacs.so.5.0.0                   [.] nbnxn_atomdata_t::resizeCoordinateBuffer@plt
     0.00%  gmx      [kernel.kallsyms]                     [k] __fget_light
     0.00%  gmx      [kernel.kallsyms]                     [k] jbd2_journal_stop
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002a87ec
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002704f6
     0.00%  gmx      [kernel.kallsyms]                     [k] ahci_handle_port_intr
     0.00%  gmx      [kernel.kallsyms]                     [k] swiotlb_map_sg_attrs
     0.00%  gmx      [kernel.kallsyms]                     [k] iov_iter_copy_from_user_atomic
     0.00%  gmx      [kernel.kallsyms]                     [k] __vma_adjust
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000019e2ef
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002bed00
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f7084
     0.00%  gmx      [kernel.kallsyms]                     [k] native_set_pte
     0.00%  gmx      libc-2.27.so                          [.] xdr_vector
     0.00%  gmx      [kernel.kallsyms]                     [k] policy_nodemask
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001ca2c0
     0.00%  gmx      libgromacs.so.5.0.0                   [.] __vsnprintf_chk@plt
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f70c3
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000270637
     0.00%  gmx      libgromacs.so.5.0.0                   [.] do_em_step
     0.00%  gmx      libgomp.so.1.0.0                      [.] free@plt
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv024767rm
     0.00%  gmx      libgromacs.so.5.0.0                   [.] reduceForces@plt
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001b1610
     0.00%  gmx      libopenblasp-r0.2.20.so               [.] 0x0000000000304a8b
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000e609e
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000298780
     0.00%  gmx      libgomp.so.1.0.0                      [.] 0x000000000000f900
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv025919rm
     0.00%  gmx      [kernel.kallsyms]                     [k] get_partial_node.isra.73
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000019e2c5
     0.00%  gmx      libgromacs.so.5.0.0                   [.] nrnbIndex@plt
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000026f6ca
     0.00%  gmx      libc-2.27.so                          [.] __libc_alloca_cutoff
     0.00%  gmx      libgomp.so.1.0.0                      [.] 0x0000000000019225
     0.00%  gmx      [kernel.kallsyms]                     [k] rw_verify_area
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f7e92
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f8efb
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001c16ec
     0.00%  gmx      [kernel.kallsyms]                     [k] ext4_mark_inode_dirty
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f8270
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002cfbf6
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002e6ec5
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002706cb
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000298714
     0.00%  gmx      libgromacs.so.5.0.0                   [.] cudaLaunchKernel
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000019e15f
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f7e40
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001e3170
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000297650
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001292b4
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv000142rm
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000298b9d
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001ba647
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000e58eb
     0.00%  gmx      libgromacs.so.5.0.0                   [.] cudart::cudaApiGetLastError
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000270613
     0.00%  gmx      libgromacs.so.5.0.0                   [.] add_ebin_indexed@plt
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002e6e9c
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f8960
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000236cea
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f70a0
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f8ebd
     0.00%  gmx      libgromacs.so.5.0.0                   [.] wallcycle_start
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f17f8
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000026f336
     0.00%  gmx      libgromacs.so.5.0.0                   [.] free@plt
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002b807e
     0.00%  gmx      [kernel.kallsyms]                     [k] ext4_journal_check_start
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000242384
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000321e4c
     0.00%  gmx      [kernel.kallsyms]                     [k] free_one_page
     0.00%  gmx      libcuda.so.390.116                    [.] pthread_getspecific@plt
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001c4462
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000026f460
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f7a59
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002437be
     0.00%  gmx      libgromacs.so.5.0.0                   [.] memcpy@plt
     0.00%  gmx      [kernel.kallsyms]                     [k] generic_delete_inode
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000270595
     0.00%  gmx      libpthread-2.27.so                    [.] __pthread_once
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002bf3c5
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000026f6c8
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002704fb
     0.00%  gmx      libgromacs.so.5.0.0                   [.] Nbnxm::gpu_copy_xq_to_gpu@plt
     0.00%  gmx      libgromacs.so.5.0.0                   [.] Nbnxm::setupGpuShortRangeWork@plt
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv032197rm
     0.00%  gmx      libgromacs.so.5.0.0                   [.] Nbnxm::gpu_clear_outputs@plt
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000232e5c
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002438e0
     0.00%  gmx      [kernel.kallsyms]                     [k] os_unlock_user_pages
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000019e080
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000026f42a
     0.00%  gmx      libgromacs.so.5.0.0                   [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create@plt
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002bf640
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002705a3
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000012929e
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002ef2fe
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000019e198
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f7082
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000270555
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000019e2e0
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000242750
     0.00%  gmx      libquadmath.so.0.0.0                  [.] 0x0000000000020a19
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000e5d70
     0.00%  gmx      libstdc++.so.6.0.25                   [.] free@plt
     0.00%  gmx      libgromacs.so.5.0.0                   [.] reset_enerdata
     0.00%  gmx      [kernel.kallsyms]                     [k] evict
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001d6f00
     0.00%  gmx      [kernel.kallsyms]                     [k] number
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000270480
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000297fc1
     0.00%  gmx      libgromacs.so.5.0.0                   [.] cudart::cuosFree
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000232f1c
     0.00%  gmx      libgromacs.so.5.0.0                   [.] cudart::globalState::initializeDriver
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f15c7
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000298748
     0.00%  gmx      [kernel.kallsyms]                     [k] __task_pid_nr_ns
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002bd8b9
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001cb2bf
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000026f411
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000019c4bd
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000e58fe
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002bea60
     0.00%  gmx      libgromacs.so.5.0.0                   [.] wallcycle_sub_stop@plt
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000026f81a
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001d62d6
     0.00%  gmx      libgomp.so.1.0.0                      [.] 0x0000000000016975
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000019e1ef
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002ef2f0
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv008798rm
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f8180
     0.00%  gmx      libc-2.27.so                          [.] __printf_fp
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002bf5ba
     0.00%  gmx      libgromacs.so.5.0.0                   [.] cudart::threadState::getLastError
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000298b50
     0.00%  gmx      [kernel.kallsyms]                     [k] __x86_indirect_thunk_r8
     0.00%  gmx      [kernel.kallsyms]                     [k] ns_capable_common
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f16b0
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000026fc32
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002b7ce0
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001c2801
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002beac8
     0.00%  gmx      libgromacs.so.5.0.0                   [.] do_force_lowlevel
     0.00%  gmx      libc-2.27.so                          [.] pthread_mutex_unlock
     0.00%  gmx      libc-2.27.so                          [.] _IO_str_init_static_internal
     0.00%  gmx      [kernel.kallsyms]                     [k] rcu_segcblist_pend_cbs
     0.00%  gmx      libcuda.so.390.116                    [.] clock_gettime@plt
     0.00%  gmx      libgomp.so.1.0.0                      [.] GOMP_parallel
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000003007e4
     0.00%  gmx      libgomp.so.1.0.0                      [.] 0x0000000000019171
     0.00%  gmx      libgromacs.so.5.0.0                   [.] cudart::cudaApiLaunchKernel
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000019e2d9
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000298a68
     0.00%  gmx      libgromacs.so.5.0.0                   [.] gmx::InMemoryDeserializer::doRvec
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001c19d9
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000026f2ed
     0.00%  gmx      libgromacs.so.5.0.0                   [.] do_force_lowlevel@plt
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002709a2
     0.00%  gmx      [kernel.kallsyms]                     [k] percpu_counter_add_batch
     0.00%  gmx      libc-2.27.so                          [.] _IO_old_init
     0.00%  gmx      [kernel.kallsyms]                     [k] ahci_single_level_irq_intr
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002e6f98
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001d0009
     0.00%  gmx      [kernel.kallsyms]                     [k] wait_for_stable_page
     0.00%  gmx      [kernel.kallsyms]                     [k] nohz_balance_exit_idle.part.98
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002be3cc
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001e2fb4
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000019de8b
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f8e20
     0.00%  gmx      [kernel.kallsyms]                     [k] hid_process_event
     0.00%  gmx      libstdc++.so.6.0.25                   [.] malloc@plt
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv020389rm
     0.00%  gmx      [kernel.kallsyms]                     [k] __free_vmap_area
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002e6c40
     0.00%  gmx      libpthread-2.27.so                    [.] _pthread_cleanup_push_defer
     0.00%  gmx      [kernel.kallsyms]                     [k] cpus_share_cache
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000233b33
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002706dd
     0.00%  gmx      [kernel.kallsyms]                     [k] file_free_rcu
     0.00%  gmx      libc-2.27.so                          [.] _IO_setb
     0.00%  gmx      [kernel.kallsyms]                     [k] __percpu_counter_sum
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000298b0f
     0.00%  gmx      [kernel.kallsyms]                     [k] rcu_bh_qs
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000027066b
     0.00%  gmx      libc-2.27.so                          [.] xdrstdio_putlong
     0.00%  gmx      [kernel.kallsyms]                     [k] __x86_indirect_thunk_r14
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f789f
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001ba6e0
     0.00%  gmx      [kernel.kallsyms]                     [k] __pollwait
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv032141rm
     0.00%  gmx      libgomp.so.1.0.0                      [.] 0x000000000001695e
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002998d3
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002f2984
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000112a60
     0.00%  gmx      [kernel.kallsyms]                     [k] uvm_tracker_remove_completed
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000019e173
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002e9f20
     0.00%  gmx      [kernel.kallsyms]                     [k] ext4_inode_csum_set
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f1a07
     0.00%  gmx      [kernel.kallsyms]                     [k] handle_irq_event_percpu
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000298fe7
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv001294rm
     0.00%  gmx      [kernel.kallsyms]                     [k] set_next_buddy
     0.00%  gmx      [kernel.kallsyms]                     [k] unmapped_area_topdown
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv020949rm
     0.00%  gmx      [kernel.kallsyms]                     [k] irq_chip_ack_parent
     0.00%  gmx      libgromacs.so.5.0.0                   [.] gmx::ForceProviders::hasForceProvider
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000e5e96
     0.00%  gmx      libgomp.so.1.0.0                      [.] 0x0000000000016bbd
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001cfe67
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000297fe9
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000e5df7
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000026f571
     0.00%  gmx      [kernel.kallsyms]                     [k] pci_read
     0.00%  gmx      libgomp.so.1.0.0                      [.] 0x0000000000017dd9
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000298569
     0.00%  gmx      libgromacs.so.5.0.0                   [.] nonbonded_verlet_t::setAtomProperties
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv026341rm
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002b8575
     0.00%  gmx      [kernel.kallsyms]                     [k] unmap_urb_for_dma
     0.00%  gmx      [kernel.kallsyms]                     [k] page_add_file_rmap
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001e57b0
     0.00%  gmx      [kernel.kallsyms]                     [k] ext4_do_update_inode
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000270620
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f83c4
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f709c
     0.00%  gmx      libgromacs.so.5.0.0                   [.] gmx::unpinBuffer@plt
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001c277c
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001e5610
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000026f84e
     0.00%  gmx      [kernel.kallsyms]                     [k] profile_tick
     0.00%  gmx      libgromacs.so.5.0.0                   [.] std::vector<int, gmx::Allocator<int, gmx::HostAllocationPolicy> >::_M_default_append
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002e7630
     0.00%  gmx      libgromacs.so.5.0.0                   [.] max_cutoff2@plt
     0.00%  gmx      [kernel.kallsyms]                     [k] account_process_tick
     0.00%  gmx      [kernel.kallsyms]                     [k] __rb_erase_color
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv016934rm
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv029883rm
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001c3bfb
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv025895rm
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000030084c
     0.00%  gmx      [kernel.kallsyms]                     [k] exit_to_usermode_loop
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002c03f0
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000299546
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f70a8
     0.00%  gmx      libgromacs.so.5.0.0                   [.] Nbnxm::gpu_init_atomdata
     0.00%  gmx      [kernel.kallsyms]                     [k] uvm_unlocked_ioctl
     0.00%  gmx      [kernel.kallsyms]                     [k] cap_vm_enough_memory
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv000048rm
     0.00%  gmx      [kernel.kallsyms]                     [k] ep_poll_callback
     0.00%  gmx      [kernel.kallsyms]                     [k] from_kuid_munged
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001ca3bf
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv008367rm
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002e8270
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002708c7
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv008435rm
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f1896
     0.00%  gmx      [kernel.kallsyms]                     [k] memset_common.isra.4
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002a87e6
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000028e220
     0.00%  gmx      [kernel.kallsyms]                     [k] __wake_up_common
     0.00%  gmx      [kernel.kallsyms]                     [k] __radix_tree_lookup
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f7a74
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f709a
     0.00%  gmx      [kernel.kallsyms]                     [k] kepler_membar_before_semaphore
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f8e5b
     0.00%  gmx      libgromacs.so.5.0.0                   [.] strlen@plt
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000232910
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001c1950
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv020897rm
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f1461
     0.00%  gmx      [kernel.kallsyms]                     [k] process_echoes
     0.00%  gmx      libgomp.so.1.0.0                      [.] 0x00000000000171bc
     0.00%  gmx      libgromacs.so.5.0.0                   [.] cudart::contextStateManager::getRuntimeContextState
     0.00%  gmx      [kernel.kallsyms]                     [k] security_capable
     0.00%  gmx      [kernel.kallsyms]                     [k] crc32c_pcl_intel_update
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000298b61
     0.00%  gmx      [kernel.kallsyms]                     [k] up_read
     0.00%  gmx      [kernel.kallsyms]                     [k] change_page_attr_set_clr
     0.00%  gmx      [kernel.kallsyms]                     [k] handle_mm_fault
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv025189rm
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f70bb
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000026f889
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000026f938
     0.00%  gmx      libgromacs.so.5.0.0                   [.] Nbnxm::gpu_launch_kernel@plt
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001a07c0
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv009378rm
     0.00%  gmx      [kernel.kallsyms]                     [k] down_write_killable
     0.00%  gmx      libgromacs.so.5.0.0                   [.] Nbnxm::gpu_wait_finish_task
