# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 481K of event 'cycles:ppp'
# Event count (approx.): 477625636818
#
# Overhead  Command  Shared Object                         Symbol                                                                                                                  
# ........  .......  ....................................  ........................................................................................................................
#
     0.00%  gmx      libc-2.27.so                          [.] __fprintf_chk
     0.00%  gmx      [kernel.kallsyms]                     [k] xhci_irq
     0.00%  gmx      libc-2.27.so                          [.] __strchrnul_avx2
     0.00%  gmx      libm-2.27.so                          [.] __acosf
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002e6e92
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f8edf
     0.00%  gmx      libgomp.so.1.0.0                      [.] 0x0000000000019216
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f8e37
     0.00%  gmx      [kernel.kallsyms]                     [k] find_next_iomem_res
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002708af
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f8e2c
     0.00%  gmx      [kernel.kallsyms]                     [k] try_to_wake_up
     0.00%  gmx      [kernel.kallsyms]                     [k] native_apic_msr_eoi_write
     0.00%  gmx      libc-2.27.so                          [.] _itoa_word
     0.00%  gmx      [kernel.kallsyms]                     [k] timerqueue_add
     0.00%  gmx      [kernel.kallsyms]                     [k] __update_load_avg_se.isra.37
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002e6ea3
     0.00%  gmx      libgromacs.so.5.0.0                   [.] do_dih_fup<(BondedKernelFlavor)2>@plt
     0.00%  gmx      libc-2.27.so                          [.] __memmove_avx_unaligned_erms
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001e2fbc
     0.00%  gmx      libgromacs.so.5.0.0                   [.] std::vector<nbnxn_sci_t, gmx::Allocator<nbnxn_sci_t, gmx::HostAllocationPolicy> >::_M_default_append
     0.00%  gmx      [kernel.kallsyms]                     [k] trigger_load_balance
     0.00%  gmx      libgromacs.so.5.0.0                   [.] sincosf@plt
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002a87e9
     0.00%  gmx      libc-2.27.so                          [.] pthread_mutex_lock
     0.00%  gmx      [kernel.kallsyms]                     [k] __cgroup_account_cputime_field
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001292ae
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002a87fc
     0.00%  gmx      libc-2.27.so                          [.] cfree@GLIBC_2.2.5
     0.00%  gmx      [kernel.kallsyms]                     [k] release_pages
     0.00%  gmx      [kernel.kallsyms]                     [k] __change_page_attr
     0.00%  gmx      [kernel.kallsyms]                     [k] clear_buddies
     0.00%  gmx      [kernel.kallsyms]                     [k] delay_tsc
     0.00%  gmx      libgromacs.so.5.0.0                   [.] gmx::Constraints::Impl::apply
     0.00%  gmx      [kernel.kallsyms]                     [k] reweight_entity
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000024946b
     0.00%  gmx      libgromacs.so.5.0.0                   [.] copy_rvec_to_nbat_real@plt
     0.00%  gmx      [kernel.kallsyms]                     [k] switch_to_thread_stack
     0.00%  gmx      [kernel.kallsyms]                     [k] _copy_to_user
     0.00%  gmx      libgromacs.so.5.0.0                   [.] gmx::InMemoryDeserializer::doReal
     0.00%  gmx      [kernel.kallsyms]                     [k] select_task_rq_fair
     0.00%  gmx      libc-2.27.so                          [.] __mpn_divrem
     0.00%  gmx      ld-2.27.so                            [.] do_lookup_x
     0.00%  gmx      [kernel.kallsyms]                     [k] os_match_mmap_offset
     0.00%  gmx      [kernel.kallsyms]                     [k] uvm_spin_loop
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv018449rm
     0.00%  gmx      [kernel.kallsyms]                     [k] rcu_process_callbacks
     0.00%  gmx      libc-2.27.so                          [.] __mpn_mul_1
     0.00%  gmx      libgromacs.so.5.0.0                   [.] copyIdefFromMtop
     0.00%  gmx      [kernel.kallsyms]                     [k] clockid_to_kclock.part.8
     0.00%  gmx      [kernel.kallsyms]                     [k] kmem_cache_alloc
     0.00%  gmx      [kernel.kallsyms]                     [k] update_cfs_group
     0.00%  gmx      [kernel.kallsyms]                     [k] __kmalloc
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002e6ecd
     0.00%  gmx      libc-2.27.so                          [.] __clock_gettime
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000242744
     0.00%  gmx      [kernel.kallsyms]                     [k] unmap_page_range
     0.00%  gmx      libgomp.so.1.0.0                      [.] 0x000000000001697a
     0.00%  gmx      [kernel.kallsyms]                     [k] run_posix_cpu_timers
     0.00%  gmx      [kernel.kallsyms]                     [k] nv_free_system_pages
     0.00%  gmx      [kernel.kallsyms]                     [k] cgroup_cpu_stat_updated
     0.00%  gmx      [kernel.kallsyms]                     [k] update_rq_clock
     0.00%  gmx      libc-2.27.so                          [.] _IO_padn
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv003529rm
     0.00%  gmx      libgromacs.so.5.0.0                   [.] acosf@plt
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv018257rm
     0.00%  gmx      [kernel.kallsyms]                     [k] sched_clock_cpu
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f8f43
     0.00%  gmx      [kernel.kallsyms]                     [k] hrtimer_active
     0.00%  gmx      libc-2.27.so                          [.] hack_digit
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002e6ed7
     0.00%  gmx      libc-2.27.so                          [.] malloc
     0.00%  gmx      libgromacs.so.5.0.0                   [.] set_pbc_simd@plt
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001e2fa4
     0.00%  gmx      [kernel.kallsyms]                     [k] __accumulate_pelt_segments
     0.00%  gmx      [kernel.kallsyms]                     [k] run_local_timers
     0.00%  gmx      libgromacs.so.5.0.0                   [.] calculateSimpleBond
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002708a2
     0.00%  gmx      libc-2.27.so                          [.] __strlen_avx2
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000249465
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f70ff
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000298704
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000297ffe
     0.00%  gmx      libgromacs.so.5.0.0                   [.] PairlistSet::constructPairlists
